"","X","SUBJECT_ID","ADULT_CHILD","AGE_in_years","age_c","GENDER","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","T1_ad_choice_1yes","T5_ad_choice_1yes"
"124",477,"Emma-2017-07-20-13-41","adult",33.92,-0.138178197524497,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"125",490,"Emma-2017-07-12-16-05","adult",48.05,0.829411573601024,"MALE",0,7,"tanna",0,0,0,0,0,0,1,1,1
"126",496,"Emma-2017-07-13-12-58","adult",47.99,0.825302912152508,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,1,1
"127",498,"Emma-2017-07-21-11-04","adult",29.57,-0.436056152541908,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,1,0
"128",513,"Emma-2017-07-23-10-19","adult",45.59,0.660956454211868,"MALE",0,7,"tanna",0,0,0,0,0,0,1,1,1
"129",533,"Emma-2017-07-22-09-14","adult",26.46,-0.649021770956654,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"130",539,"Emma-2017-07-22-12-30","adult",27.57,-0.573011534159108,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,1,0
"131",545,"Emma-2017-07-25-08-44","adult",28.65,-0.49905562808582,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,1,1
"132",547,"Emma-2017-07-25-10-09","adult",37.59,0.113134927743066,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"133",549,"Emma-2017-07-25-10-52","adult",35.59,-0.0238204538741341,"MALE",0,7,"tanna",0,0,0,0,0,0,1,1,0
"134",676,"Carla-2017-06-23-10-12","adult",16.3,-1.34475510957203,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"135",677,"Carla-2017-06-23-10-38","adult",21.12,-1.01469263987458,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,0
"136",678,"Carla-2017-06-23-11-05","adult",19.01,-1.15918056748073,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,1
"137",679,"Carla-2017-06-23-11-31","adult",23.31,-0.864726497003745,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"138",680,"Carla-2017-06-23-11-58","adult",32.18,-0.257329379531461,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,1,1
"139",681,"Carla-2017-06-23-12-28","adult",18.04,-1.22560392756507,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,1
"140",682,"Carla-2017-06-23-12-59","adult",34.61,-0.0909285908665626,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"141",683,"Carla-2017-06-23-13-54","adult",17.05,-1.29339684146558,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"142",684,"Carla-2017-06-23-13-28","adult",22.11,-0.946899725974065,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,1,0
"143",701,"Carla-2017-06-25-11-11","adult",17.22,-1.28175563402812,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,0
"144",702,"Carla-2017-06-25-12-10","adult",16.05,-1.36187453227418,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,1,0
"145",703,"Carla-2017-06-25-12-43","adult",31.61,-0.296361663292363,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,1,1
"146",704,"Carla-2017-06-25-13-37","adult",36.04,0.00699450698973569,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,1
"147",705,"Carla-2017-06-25-14-26","adult",38.3,0.161754088217172,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,0
"148",706,"Carla-2017-06-25-17-04","adult",23.06,-0.881845919705895,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,0
"149",707,"Carla-2017-06-25-17-58","adult",23.04,-0.883215473522067,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,1,0
"150",708,"Carla-2017-06-25-18-28","adult",67.05,2.13048769896443,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,1,0
"151",709,"Carla-2017-06-25-18-56","adult",17.13,-1.28791862620089,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,1
"152",710,"Carla-2017-06-25-19-26","adult",45.24,0.636989262428858,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"153",711,"Carla-2017-06-25-19-55","adult",31.28,-0.318959301259201,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,1
"154",712,"Carla-2017-06-26-16-55","adult",25.3,-0.72845589229463,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"155",713,"Carla-2017-06-26-17-24","adult",32.65,-0.225144864851419,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,1,1
"156",714,"Carla-2017-06-26-18-01","adult",26.16,-0.669565078199234,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,1,0
"157",715,"Carla-2017-06-26-18-49","adult",17.31,-1.27559264185535,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,1
"158",716,"Carla-2017-06-27-16-48","adult",43.36,0.508251203708689,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,1
"159",717,"Carla-2017-06-27-17-27","adult",36.31,0.025483483508058,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,1
"160",718,"Carla-2017-06-27-17-56","adult",66.06,2.06269478506391,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"161",719,"Carla-2017-06-28-17-01","adult",43.1,0.490447004098453,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"162",720,"Carla-2017-06-28-17-34","adult",54.31,1.25808191806286,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,1,0
"163",721,"Carla-2017-06-28-18-03","adult",33.1,-0.194329903987549,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"164",736,"Noe-2017-07-24-20-54","adult",42.51,0.450045166521379,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,1,1
"165",737,"Noe-2017-07-29-14-54","adult",56.64,1.4176349376469,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,1
"166",738,"Noe-2017-07-29-15-18","adult",71.69,2.44822418431633,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,1,1
"167",777,"Noe-2017-08-24-12-00","adult",20.86,-1.03249683948482,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
"168",778,"Noe-2017-08-24-16-02","adult",18.53,-1.19204985906885,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,1,1
"169",779,"Noe-2017-08-25-09-41","adult",25.58,-0.709282138868222,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,1
"170",780,"Noe-2017-08-25-09-48","adult",19.57,-1.12083306062791,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,1,1
"171",785,"Noe-2017-08-29-12-09","adult",42.69,0.462371150866927,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,0
"172",791,"Noe-2017-08-30-13-18","adult",57.62,1.48474307463933,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
"173",795,"Noe-2017-08-30-14-50","adult",37.14,0.082319966879196,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
"174",796,"Noe-2017-08-31-12-05","adult",27.71,-0.563424657445904,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,0
"175",797,"Noe-2017-09-03-15-27","adult",25.65,-0.70448870051162,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,1,1
"176",798,"Noe-2017-09-03-16-36","adult",20.21,-1.07700733851041,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
"177",799,"Noe-2017-09-03-17-03","adult",18.76,-1.17629999018288,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,1
"178",800,"Noe-2017-09-03-17-45","adult",19.03,-1.15781101366455,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
"179",801,"Noe-2017-09-03-20-34","adult",19.76,-1.10782229937428,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
"180",821,"Noe-2017-09-07-12-06","adult",20.6,-1.05030103909505,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,0
"181",822,"Noe-2017-09-08-14-01","adult",20.42,-1.0626270234406,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
"182",823,"Noe-2017-09-08-14-28","adult",19.42,-1.1311047142492,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
"183",824,"Noe-2017-09-08-15-43","adult",18.42,-1.1995824050578,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,1,1
"184",831,"Noe-2017-09-13-15-29","adult",39.56,0.248035978636009,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
"185",832,"Noe-2017-09-17-16-32","adult",65.51,2.02503205511918,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,1,1
"186",833,"Noe-2017-09-19-08-51","adult",37.04,0.0754721977983359,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,0
"187",834,"Noe-2017-09-19-10-02","adult",36.52,0.0398637985778641,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,0
"188",835,"Noe-2017-09-20-09-39","adult",69.6,2.30510581052636,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
"189",851,"Noe-2017-10-01-09-21","adult",34.39,-0.105993682844455,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
"190",852,"Noe-2017-10-01-10-05","adult",37.48,0.10560238175412,"MALE",0,2,"laplata",0,1,0,0,0,0,0,1,1
