"","X","SUBJECT_ID","ADULT_CHILD","AGE_in_years","age_c","GENDER","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_ad_choice_1yes"
"105",442,"Emma-2017-07-17-09-23","adult",41.57,0.405423068370246,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"106",443,"Emma-2017-07-17-09-52","adult",32.02,-0.25244357825025,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"107",444,"Emma-2017-07-17-10-57","adult",21.56,-0.972996994339297,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"108",448,"Emma-2017-07-17-13-21","adult",27.56,-0.559677635206001,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"109",458,"Emma-2017-07-18-11-52","adult",27.52,-0.562433097600222,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"110",461,"Emma-2017-07-19-09-02","adult",30.25,-0.374372789194573,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"111",462,"Emma-2017-07-19-09-51","adult",48.58,0.888317852957647,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"112",463,"Emma-2017-07-19-12-43","adult",57.56,1.50691916046048,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"113",464,"Emma-2017-07-19-13-14","adult",32.94,-0.189067943183145,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"114",465,"Emma-2017-07-19-13-59","adult",21.32,-0.989529768704629,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"115",466,"Emma-2017-07-20-07-51","adult",45.58,0.681658173390999,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"116",467,"Emma-2017-07-20-08-16","adult",43.07,0.50875290815357,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"117",468,"Emma-2017-07-20-08-46","adult",52.08,1.12942081245207,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"118",469,"Emma-2017-07-20-09-10","adult",28.57,-0.490102209751896,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"119",470,"Emma-2017-07-20-09-54","adult",29.57,-0.421215649896346,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"120",471,"Emma-2017-07-20-10-21","adult",26.57,-0.627875329462994,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"121",472,"Emma-2017-07-20-10-41","adult",47.58,0.819431293102098,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"122",473,"Emma-2017-07-20-12-15","adult",20.56,-1.04188355419485,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"123",474,"Emma-2017-07-20-12-32","adult",35.13,-0.0382063770994915,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"124",475,"Emma-2017-07-20-12-56","adult",48.24,0.864896422606761,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"125",476,"Emma-2017-07-20-13-18","adult",19.98,-1.08183775891106,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"126",477,"Emma-2017-07-20-13-41","adult",33.92,-0.121559114524706,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"127",478,"Emma-2017-07-20-14-27","adult",34.57,-0.0767828506185993,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"128",490,"Emma-2017-07-12-16-05","adult",48.05,0.851807976234206,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"129",496,"Emma-2017-07-13-12-58","adult",47.99,0.847674782642874,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"130",498,"Emma-2017-07-21-11-04","adult",29.57,-0.421215649896346,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"131",510,"Emma-2017-07-23-08-57","adult",47.59,0.820120158700654,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"132",513,"Emma-2017-07-23-10-19","adult",45.59,0.682347038989555,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"133",533,"Emma-2017-07-22-09-14","adult",26.46,-0.635452851047105,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"134",538,"Emma-2017-07-22-12-07","adult",45.59,0.682347038989555,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"135",539,"Emma-2017-07-22-12-30","adult",27.57,-0.558988769607445,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"136",545,"Emma-2017-07-25-08-44","adult",28.65,-0.484591284963452,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"137",547,"Emma-2017-07-25-10-09","adult",37.59,0.13125456014516,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"138",549,"Emma-2017-07-25-10-52","adult",35.59,-0.0065185595659387,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"139",550,"Emma-2017-07-25-12-10","adult",20.58,-1.04050582299774,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"140",676,"Carla-2017-06-23-10-12","adult",16.3,-1.33534029917949,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"141",677,"Carla-2017-06-23-10-38","adult",21.12,-1.00330708067574,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,0
"142",678,"Carla-2017-06-23-11-05","adult",19.01,-1.14865772197095,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"143",679,"Carla-2017-06-23-11-31","adult",23.31,-0.852445514592085,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"144",680,"Carla-2017-06-23-11-58","adult",32.18,-0.241421728673362,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,1
"145",681,"Carla-2017-06-23-12-28","adult",18.04,-1.21547768503083,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"146",682,"Carla-2017-06-23-12-59","adult",34.61,-0.0740273882243774,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"147",683,"Carla-2017-06-23-13-54","adult",17.05,-1.28367537928782,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"148",684,"Carla-2017-06-23-13-28","adult",22.11,-0.935109386418745,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,1
"149",701,"Carla-2017-06-25-11-11","adult",17.22,-1.27196466411238,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,0
"150",702,"Carla-2017-06-25-12-10","adult",16.05,-1.35256193914337,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,1
"151",703,"Carla-2017-06-25-12-43","adult",31.61,-0.280687067791025,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,1
"152",704,"Carla-2017-06-25-13-37","adult",36.04,0.0244803923690582,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"153",705,"Carla-2017-06-25-14-26","adult",38.3,0.1801640176426,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,0
"154",706,"Carla-2017-06-25-17-04","adult",23.06,-0.869667154555973,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,0
"155",707,"Carla-2017-06-25-17-58","adult",23.04,-0.871044885753084,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,1
"156",708,"Carla-2017-06-25-18-28","adult",67.05,2.16065261348964,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,1
"157",709,"Carla-2017-06-25-18-56","adult",17.13,-1.27816445449938,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,0
"158",710,"Carla-2017-06-25-19-26","adult",45.24,0.658236743040113,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"159",711,"Carla-2017-06-25-19-55","adult",31.28,-0.303419632543357,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"160",712,"Carla-2017-06-26-16-55","adult",25.3,-0.715361260479542,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"161",713,"Carla-2017-06-26-17-24","adult",32.65,-0.209045045541254,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,1
"162",714,"Carla-2017-06-26-18-01","adult",26.16,-0.65611881900377,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,1
"163",715,"Carla-2017-06-26-18-49","adult",17.31,-1.26576487372538,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,0
"164",716,"Carla-2017-06-27-16-48","adult",43.36,0.52873001051168,"MALE",0,6,"wiichi",0,0,0,0,0,1,0,0,0
"165",717,"Carla-2017-06-27-17-27","adult",36.31,0.0430797635300568,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"166",718,"Carla-2017-06-27-17-56","adult",66.06,2.09245491923265,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"167",719,"Carla-2017-06-28-17-01","adult",43.1,0.510819504949237,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"168",720,"Carla-2017-06-28-17-34","adult",54.31,1.28303784092995,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,1
"169",721,"Carla-2017-06-28-18-03","adult",33.1,-0.178046093606257,"FEMALE",1,6,"wiichi",0,0,0,0,0,1,0,0,0
"170",736,"Noe-2017-07-24-20-54","adult",42.51,0.470176434634463,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,1
"171",737,"Noe-2017-07-29-14-54","adult",56.64,1.44354352539338,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,0
"172",738,"Noe-2017-07-29-15-18","adult",71.69,2.48028625121939,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,1
"173",777,"Noe-2017-08-24-12-00","adult",20.86,-1.02121758623818,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,1
"174",778,"Noe-2017-08-24-16-02","adult",18.53,-1.18172327070161,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,1
"175",779,"Noe-2017-08-25-09-41","adult",25.58,-0.696073023719988,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,0
"176",780,"Noe-2017-08-25-09-48","adult",19.57,-1.11008124845184,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,1
"177",785,"Noe-2017-08-29-12-09","adult",42.69,0.482576015408462,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,0
"178",791,"Noe-2017-08-30-13-18","adult",57.62,1.51105235405181,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,1
"179",795,"Noe-2017-08-30-14-50","adult",37.14,0.100255608210163,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,1
"180",796,"Noe-2017-08-31-12-05","adult",27.71,-0.549344651227668,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,0
"181",797,"Noe-2017-09-03-15-27","adult",25.65,-0.6912509645301,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,1
"182",798,"Noe-2017-09-03-16-36","adult",20.21,-1.06599385014429,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,1
"183",799,"Noe-2017-09-03-17-03","adult",18.76,-1.16587936193483,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,0
"184",800,"Noe-2017-09-03-17-45","adult",19.03,-1.14727999077384,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,1
"185",801,"Noe-2017-09-03-20-34","adult",19.76,-1.09699280207929,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,1
"186",821,"Noe-2017-09-07-12-06","adult",20.6,-1.03912809180062,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,0
"187",822,"Noe-2017-09-08-14-01","adult",20.42,-1.05152767257462,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,1
"188",823,"Noe-2017-09-08-14-28","adult",19.42,-1.12041423243017,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,1
"189",824,"Noe-2017-09-08-15-43","adult",18.42,-1.18930079228572,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,1
"190",831,"Noe-2017-09-13-15-29","adult",39.56,0.266961083060592,"MALE",0,2,"laplata",0,1,0,0,0,0,0,0,1
"191",832,"Noe-2017-09-17-16-32","adult",65.51,2.0545673113121,"FEMALE",1,2,"laplata",0,1,0,0,0,0,0,0,1
