"","X","SUBJECT_ID","AGE_in_years","age_c","age_2c","age_3c","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_choice_1yes"
"127",484,"Emma-2017-07-12-11-32",8.53,-0.266784222767819,0.071173821517829,-0.0189880526550495,0,7,"tanna",0,0,0,0,0,0,1,0,0
"128",485,"Emma-2017-07-12-12-04",8.53,-0.266784222767819,0.071173821517829,-0.0189880526550495,1,7,"tanna",0,0,0,0,0,0,1,0,1
"129",486,"Emma-2017-07-12-12-34",8.53,-0.266784222767819,0.071173821517829,-0.0189880526550495,1,7,"tanna",0,0,0,0,0,0,1,0,0
"130",487,"Emma-2017-07-12-14-01",7.53,-0.640528416944129,0.410276652912952,-0.262793854999469,1,7,"tanna",0,0,0,0,0,0,1,0,0
"131",488,"Emma-2017-07-12-14-34",7.53,-0.640528416944129,0.410276652912952,-0.262793854999469,0,7,"tanna",0,0,0,0,0,0,1,0,1
"132",489,"Emma-2017-07-12-15-26",7.53,-0.640528416944129,0.410276652912952,-0.262793854999469,1,7,"tanna",0,0,0,0,0,0,1,0,0
"133",491,"Emma-2017-07-13-09-22",7.42,-0.681640278303523,0.464633469005704,-0.316712887122179,0,7,"tanna",0,0,0,0,0,0,1,0,1
"134",493,"Emma-2017-07-13-10-44",7.53,-0.640528416944129,0.410276652912952,-0.262793854999469,1,7,"tanna",0,0,0,0,0,0,1,0,0
"135",494,"Emma-2017-07-13-11-17",7.01,-0.83487539791581,0.697016930045082,-0.581922286825445,0,7,"tanna",0,0,0,0,0,0,1,0,0
"136",495,"Emma-2017-07-13-11-47",6.8,-0.913361678692835,0.834229556104594,-0.761953307778871,0,7,"tanna",0,0,0,0,0,0,1,0,0
"137",505,"Emma-2017-07-21-14-47",12,1.03010813102398,1.06112276160171,1.09307118474055,0,7,"tanna",0,0,0,0,0,0,1,0,0
"138",506,"Emma-2017-07-21-15-12",8.06,-0.442443994030684,0.195756687853824,-0.0866113708322638,0,7,"tanna",0,0,0,0,0,0,1,0,0
"139",507,"Emma-2017-07-21-15-37",8.56,-0.255571896942529,0.0653169945068026,-0.0166931881886883,0,7,"tanna",0,0,0,0,0,0,1,0,1
"140",508,"Emma-2017-07-23-07-48",12.72,1.29920395083092,1.68793090585468,2.19296650161602,1,7,"tanna",0,0,0,0,0,0,1,0,0
"141",515,"Emma-2017-07-23-11-54",11.56,0.865660685586402,0.74936842256992,0.648698782438678,1,7,"tanna",0,0,0,0,0,0,1,0,0
"142",516,"Emma-2017-07-23-12-32",8.56,-0.255571896942529,0.0653169945068026,-0.0166931881886883,1,7,"tanna",0,0,0,0,0,0,1,0,0
"143",517,"Emma-2017-07-23-13-11",8.48,-0.285471432476634,0.0814939387602612,-0.0232641914360548,0,7,"tanna",0,0,0,0,0,0,1,0,1
"144",518,"Emma-2017-07-23-13-37",12.05,1.04879534073279,1.09997166674282,1.15364515901795,1,7,"tanna",0,0,0,0,0,0,1,0,0
"145",519,"Emma-2017-07-23-14-09",12.56,1.23940487976271,1.53612445597962,1.90388014666399,1,7,"tanna",0,0,0,0,0,0,1,0,0
"146",520,"Emma-2017-07-23-15-30",8.56,-0.255571896942529,0.0653169945068026,-0.0166931881886883,0,7,"tanna",0,0,0,0,0,0,1,0,1
"147",521,"Emma-2017-07-23-15-53",10.56,0.491916491410092,0.241981834521215,0.119034855022654,0,7,"tanna",0,0,0,0,0,0,1,0,1
"148",522,"Emma-2017-07-23-16-24",11.56,0.865660685586402,0.74936842256992,0.648698782438678,1,7,"tanna",0,0,0,0,0,0,1,0,1
"149",524,"Emma-2017-07-24-09-21",10.57,0.495653933351855,0.245672821647165,0.121768700367066,1,7,"tanna",0,0,0,0,0,0,1,0,1
"150",525,"Emma-2017-07-24-09-45",12.57,1.24314232170448,1.54540283201279,1.92115566455706,1,7,"tanna",0,0,0,0,0,0,1,0,0
"151",526,"Emma-2017-07-24-10-16",12.57,1.24314232170448,1.54540283201279,1.92115566455706,0,7,"tanna",0,0,0,0,0,0,1,0,0
"152",527,"Emma-2017-07-24-10-58",6.59,-0.99184795946986,0.983762374704526,-0.975742703953908,0,7,"tanna",0,0,0,0,0,0,1,0,0
"153",528,"Emma-2017-07-24-11-55",8.56,-0.255571896942529,0.0653169945068026,-0.0166931881886883,0,7,"tanna",0,0,0,0,0,0,1,0,1
"154",530,"Emma-2017-07-24-13-20",13,1.40385232520029,1.97080135097026,2.76671405906747,0,7,"tanna",0,0,0,0,0,0,1,0,0
"155",534,"Emma-2017-07-22-09-43",7.56,-0.62931609111884,0.396038742541096,-0.249233553387583,1,7,"tanna",0,0,0,0,0,0,1,0,0
"156",540,"Emma-2017-07-22-13-49",10.12,0.327469045972515,0.107235976070149,0.0351164627776232,0,7,"tanna",0,0,0,0,0,0,1,0,0
"157",541,"Emma-2017-07-22-14-20",6,-1.21235703403388,1.46980957797144,-1.78193398054404,1,7,"tanna",0,0,0,0,0,0,1,0,0
"158",542,"Emma-2017-07-22-14-50",8.56,-0.255571896942529,0.0653169945068026,-0.0166931881886883,0,7,"tanna",0,0,0,0,0,0,1,0,1
"159",543,"Emma-2017-07-22-15-14",7.54,-0.636790975002366,0.405502745844463,-0.258220488892432,0,7,"tanna",0,0,0,0,0,0,1,0,0
"160",546,"Emma-2017-07-25-09-48",8.57,-0.251834455000766,0.0634205927255327,-0.0159714904048601,1,7,"tanna",0,0,0,0,0,0,1,0,0
"161",548,"Emma-2017-07-25-10-32",9.91,0.24898276519549,0.0619924173643926,0.0154350434965394,1,7,"tanna",0,0,0,0,0,0,1,0,0
"162",552,"Emma-2017-07-25-14-39",10.57,0.495653933351855,0.245672821647165,0.121768700367066,1,7,"tanna",0,0,0,0,0,0,1,0,0
"163",553,"Emma-2017-07-25-15-04",10,0.282619742671358,0.0798739189476246,0.0225739464191306,0,7,"tanna",0,0,0,0,0,0,1,0,0
"164",554,"Emma-2017-07-25-15-30",11,0.656363936847668,0.43081361759417,0.282770522091695,1,7,"tanna",0,0,0,0,0,0,1,0,0
"165",558,"Noe-2017-06-05-14-14",5.13,-1.53751448296727,2.36395078533412,-3.63460856947308,0,2,"laplata",0,1,0,0,0,0,0,0,0
